% Model:              RWGS_demo_CeO2_cycle1_flow1_H2.mph
% Version:            COMSOL 5.6.0.341
% Date:               Oct 5 2022, 11:18
% Dimension:          1
% Nodes:              1386
% Expressions:        8
% Description:        
% X                       c/c_max (1) @ t=0        c/c_max (1) @ t=80       c/c_max (1) @ t=160      c/c_max (1) @ t=240      c/c_max (1) @ t=320      c/c_max (1) @ t=400      c/c_max (1) @ t=480      c/c_max (1) @ t=520.97
0.14765573342693197       0.9999910192757601       0.4803120756252288       0.2272093224287454       0.1590382042390307       0.12494069159605524      0.10402767805620465      0.08972822947635489      0.08399563959629984
0.14865529162997615       0.9999910192757601       0.48485603912152025      0.2285425147382762       0.15991535105778376      0.12561521597055433      0.10458362648063507      0.09020511747131715      0.0844412372547612
0.14965484983302033       0.9999910192757601       0.48946789729458484      0.2298765822249715       0.16079198551258211      0.12628909530544083      0.10513894543236806      0.09068141694218078      0.08488626853558742
0.1506544080360645        0.9999910192757601       0.49415010283927485      0.2312115639776571       0.16166812055839205      0.12696233835862528      0.1056936419112143       0.09115713383996601      0.08533073898851376
0.15165396623910868       0.9999910192757601       0.49890520127487964      0.23254749934639296      0.16254376903643825      0.12763495377861878      0.10624772282228839      0.09163227403303417      0.08577465408570047
0.15265352444215285       0.9999910192757601       0.5037358338356588       0.23388442795701353      0.16341894367757692      0.1283069501069507       0.10680119497799889      0.09210684330879707      0.08621801922333004
0.15365308264519703       0.9999910192757601       0.5086447402934475       0.2352223897258394       0.16429365710559587      0.1289783357805234       0.10735406509998645      0.09258084737538176      0.08666083972316233
0.1546526408482412        0.9999910192757601       0.5136347616789371       0.2365614248745725       0.16516792184044277      0.12964911913390673      0.10790633982101011      0.09305429186325091      0.08710312083404871
0.15565219905128538       0.9999910192757601       0.5187088428622487       0.23790157394538802      0.16604175030138596      0.1303193084015732       0.10845802568678499      0.09352718232678124      0.08754486773340679
0.15665175725432956       0.9999910192757601       0.5238700349465018       0.23924287781623493      0.16691515481010963      0.13098891172007646      0.10900912915777178      0.09399952424580058      0.08798608552865654
0.15765131545737374       0.9999910192757601       0.5291214974201294       0.24058537771635816      0.16778814759374494      0.13165793713017482      0.10955965661092103      0.09447132302708539      0.08842677925861965
0.1586508736604179        0.9999910192757601       0.5344665000045483       0.2419291152420559       0.1686607407878414       0.1323263925789021       0.11010961434137143      0.09494258400581988      0.08886695389488278
0.1596504318634621        0.9999910192757601       0.5399084241232809       0.24327413237268536      0.16953294643927888      0.13299428592158627      0.11065900856410578      0.09541331244701759      0.08930661434312598
0.16064999006650627       0.9999910192757601       0.5454507639065834       0.24462047148692984      0.17040477650912403      0.13366162492381845      0.11120784541556493      0.09588351354690729      0.08974576544441769
0.16164954826955044       0.9999910192757601       0.5510971266318025       0.2459681753793419       0.1712762428754318       0.13432841726337394      0.11175613095522081      0.09635319243428382      0.09018441197647678
0.16264910647259462       0.9999910192757601       0.5568512324838236       0.2473172872771759       0.1721473573359956       0.1349946705320863       0.11230387116711057      0.09682235417182479      0.09062255865490308
0.1636486646756388        0.9999910192757601       0.5627169135018014       0.24866785085752519      0.17301813161104668      0.1356603922376765       0.11285107196133216      0.09729100375737486      0.0910602101343774
0.16464822287868297       0.9999910192757601       0.5686981115577155       0.25001991026477843      0.17388857734590607      0.13632558980553783      0.11339773917550344      0.0977591461251979       0.0914973710098316
0.16564778108172715       0.9999910192757601       0.5747988751887211       0.25137351012840903      0.17475870611358962      0.1369902705804787       0.11394387857618513      0.09822678614719853      0.09193404581758996
0.16664733928477132       0.9999910192757601       0.5810233550784011       0.25272869558111594      0.17562852941736914      0.13765444182842396      0.11448949586026938      0.09869392863411344      0.0923702390364827
0.1676468974878155        0.9999910192757601       0.587375797951369        0.2540855122773284       0.17649805869329033      0.1383181107380773       0.11503459665633427      0.09916057833667427      0.09280595508893213
0.16864645569085968       0.9999910192757601       0.5938605386106168       0.25544400641209325      0.17736730531265016      0.1389812844225436       0.11557918652596634      0.09962673994674177      0.09324119834201279
0.16964601389390385       0.9999910192757601       0.6004819898079368       0.25680422474036074      0.17823628058443494      0.13964396992091518      0.11612327096505073      0.10009241809841299      0.09367597310848576
0.17064557209694803       0.9999910192757601       0.6072446295934102       0.25816621459668626      0.17910499575772024      0.14030617419982094      0.11666685540503102      0.10055761736910171      0.09411028364780873
0.1716451302999922        0.9999910192757601       0.6141529857399064       0.2595300239153649       0.17997346202403494      0.1409679041549407       0.11720994521413944      0.10102234228059362      0.0945441341671215
0.17264468850303638       0.9999910192757601       0.6212116167811109       0.26089570125101863      0.18084169051969115      0.1416291666124852       0.1177525456985974       0.10148659730007603      0.09497752882220843
0.17364424670608056       0.9999910192757601       0.6284250891387886       0.2622632957996533       0.18170969232807976      0.1422899683306433       0.1182946621037891       0.10195038684114369      0.09541047171843833
0.17464380490912473       0.9999910192757601       0.6357979497453192       0.26363285742020504      0.1825774784819353       0.14295031600099672      0.11883629961540663      0.10241371526478107      0.09584296691168212
0.1756433631121689        0.9999910192757601       0.6433346934893512       0.26500443665659734      0.18344505996557034      0.14361021624990408      0.11937746336056979      0.10287658688032156      0.09627501840920918
0.1766429213152131        0.9999910192757601       0.651039724723261        0.26637808476032726      0.18431244771708039      0.14426967563985438      0.11991815840891923      0.10333900594638468      0.0967066301705632
0.17764247951825726       0.9999910192757601       0.6589173119777809       0.2677538537136036       0.1851796526305215       0.14492870067079108      0.12045838977368514      0.10380097667179153      0.09713780610841752
