% Model:              RWGS_demo_CeO2_cycle1_CO2.mph
% Version:            COMSOL 5.6.0.341
% Date:               Jun 29 2022, 10:20
% Dimension:          1
% Nodes:              1386
% Expressions:        7
% Description:        Dependent variable u2
% X                       u2 (1) @ t=0             u2 (1) @ t=80            u2 (1) @ t=160           u2 (1) @ t=240           u2 (1) @ t=320           u2 (1) @ t=400           u2 (1) @ t=436.56
5.759801415179802E-4      0.11583881039943478      0.11041634140285551      0.10444108391856696      0.09750070870224806      0.08854125189025966      0.07441012822056109      0.02374280829667226
5.970135022093011E-4      0.11566656738604111      0.11029570865584834      0.10433746809310951      0.09740492550015373      0.08845011819746557      0.07432139462700883      0.023681839335468538
6.184458886875241E-4      0.11549219138104845      0.1101710641052808       0.10423014334236484      0.09730565059544474      0.08835564976518953      0.0742294404492549       0.023618941604056823
6.402848709069204E-4      0.1153156717457723       0.11004240439152613      0.10411908137131962      0.09720285103181388      0.08825781378128934      0.07413423642451747      0.023554120487278188
6.625381624320483E-4      0.11513699823346683      0.1099097304125736       0.10400425695207888      0.09709649640188864      0.08815657978405252      0.0740357556858584       0.02348738356823702
6.852136231621974E-4      0.11495616100081493      0.10977304730179427      0.10388564800251046      0.09698655893125142      0.08805191974350673      0.07393397383922025      0.023418740622887183
7.083192621075152E-4      0.11477315061933914      0.10963236438506088      0.10376323565569932      0.09687301355627959      0.08794380813742866      0.07382886903495542      0.02334820360871835
7.318632402178076E-4      0.1145879580867168       0.10948769511710461      0.10363700431960121      0.0967558379953177       0.08783222202161672      0.07372042203344886      0.023275786647665817
7.558538732649938E-4      0.1144005748379898       0.10933905699718177      0.10350694172634185      0.09663501281269862      0.08771714109401132      0.07360861626444262      0.0232015060033869
7.802996347802566E-4      0.11421099275664935      0.1091864714643305       0.10337303897065203      0.0965105214751747       0.08759854775225953      0.07349343787970616      0.023125380053072388
8.052091590469014E-4      0.11401920418558367      0.10902996377269372      0.10323529053697716      0.09638235040033488      0.08747642714436205      0.07337487579871424      0.023047429253980685
