time [s] ,T [C] ,p-p_amb [bar] ,v_H2 [slm] ,v_CO2 [slm] ,v_Ar [slm] ,x_H2 [%] ,x_CO2 [%] ,x_CO [%] ,x_O2 [%] ,x_CH4 [%] ,Ar MFC sp [slm],H2 MFC sp [slm],CO2 MFC sp [slm]
79.613159,800.908982,0.03145,0.0,0.0,0.299797,-0.029876569015683044,-0.000231,-0.002353,-0.004189,0.0,0.3,0.0,0.0
80.61294,800.892777,0.031738,0.0,0.0,0.299044,-0.031287974104161564,0.000179,-0.002148,-0.002652,0.0,0.3,0.0,0.0
81.612675,800.913505,0.030789,0.0,0.0,0.299513,-0.03172666692905393,-0.000231,-0.002558,-0.005726,0.0,0.3,0.0,0.0
82.613294,800.900691,0.031372,0.0,0.0,0.299586,-0.0302333501885113,0.000384,-0.002148,-0.002139,0.0,0.3,0.0,0.0
83.612621,800.893576,0.031145,0.0,0.0,0.29905,-0.028496912822200644,-0.000231,-0.002353,-0.004189,0.0,0.3,0.0,0.0
84.612421,800.902956,0.031268,0.0,0.0,0.299083,-0.02884951742002115,0.000589,-0.002558,-0.004701,0.0,0.3,0.0,0.0
85.612376,800.904863,0.031244,0.0,0.0,0.299069,-0.028431327379558526,0.000589,-0.002353,-0.003164,0.0,0.3,0.0,0.0
86.613894,800.894518,0.031625,0.0,0.0,0.299691,-0.02840677368667856,0.000384,-0.002558,-0.004189,0.0,0.3,0.0,0.0
87.612464,800.904688,0.030943,0.0,0.0,0.299876,-0.028654764790627018,0.000589,-0.002353,-0.002652,0.0,0.3,0.0,0.0
88.612697,800.897441,0.03138,0.0,0.0,0.300266,-0.027994705646115007,-2.579813e-05,-0.002353,-0.003677,0.0,0.3,0.0,0.0
89.612098,800.895441,0.031019,0.0,0.0,0.298991,-0.028484581796316185,0.000589,-0.002763,-0.002139,0.0,0.3,0.0,0.0
90.613906,800.898766,0.031604,0.0,0.0,0.299871,-0.030939390741801093,0.000589,-0.002353,-0.004189,0.0,0.3,0.0,0.0
91.612229,800.890961,0.031131,0.0,0.0,0.299799,-0.028636320377195473,0.000384,-0.003993,-0.005726,0.0,0.3,0.0,0.0
92.612578,800.906172,0.030538,0.0,0.0,0.299283,-0.02755393760605418,0.000384,-0.002763,-0.004189,0.0,0.3,0.0,0.0
93.613911,800.912285,0.0318,0.0,0.0,0.298747,-0.028613768964756717,0.000794,-0.001943,-0.002652,0.0,0.3,0.0,0.0
94.612241,800.901724,0.03096,0.0,0.0,0.299166,-0.02939482814782115,0.000384,-0.002558,-0.003164,0.0,0.3,0.0,0.0
95.61265,800.89969,0.031507,0.0,0.0,0.299214,-0.029241074652290394,-0.001255,-0.002763,-0.008288,0.0,0.3,0.0,0.0
96.612358,800.896363,0.03093,0.0,0.0,0.298759,-0.02925131899576109,0.000589,-0.002353,-0.003164,0.0,0.3,0.0,0.0
97.612779,800.896297,0.031871,0.0,0.0,0.300255,-0.029042216143477826,0.000179,-0.003173,-0.008801,0.0,0.3,0.0,0.0
98.611979,800.903841,0.031421,0.0,0.0,0.299259,-0.02853588021978374,0.000999,-0.001943,-0.002139,0.0,0.3,0.0,0.0
99.612737,800.906562,0.031736,0.0,0.0,0.299182,-0.03048130969083444,0.000384,-0.001943,-0.002139,0.0,0.3,0.0,0.0
100.612703,800.901062,0.031683,0.0,0.0,0.298484,-0.028211971978671545,0.000589,-0.002353,-0.003164,0.0,0.3,0.0,0.0
101.612373,800.907532,0.031129,0.0,0.0,0.299854,-0.02921238667529818,0.000179,-0.002148,-0.003164,0.0,0.3,0.0,0.0
102.613694,800.902353,0.031899,0.0,0.0,0.299712,-0.02983758256235657,0.000589,-0.002148,-0.001627,0.0,0.3,0.0,0.0
103.612264,800.899884,0.030258,0.0,0.0,0.299381,-0.029403020073792988,0.000384,-0.002148,-0.003677,0.0,0.3,0.0,0.0
104.612388,800.900961,0.031366,0.0,0.0,0.299959,-0.028439506781941255,0.000589,-0.002148,-0.003164,0.0,0.3,0.0,0.0
105.612155,800.90629,0.030872,0.0,0.0,0.300125,-0.02883722544892724,0.001204,-0.002148,-0.002139,0.0,0.3,0.0,0.0
106.613541,800.900458,0.03065,0.0,0.0,0.299921,-0.029478844909950706,-2.579813e-05,-0.001943,-0.002652,0.0,0.3,0.0,0.0
107.612609,800.908901,0.031175,0.0,0.0,0.300295,-0.028437493530060597,0.000794,-0.001943,-0.001115,0.0,0.3,0.0,0.0
108.612363,800.914954,0.031376,0.0,0.0,0.299337,-0.02349497442529615,0.000589,-0.002148,-0.002652,0.0,0.3,0.0,0.0
109.612633,800.911657,0.031845,0.0,0.0,0.300525,-0.028441566041818436,0.000794,-0.001943,-0.002652,0.0,0.3,0.0,0.0
110.612322,800.906547,0.030875,0.0,0.0,0.299226,-0.02862196951480453,0.000589,-0.003378,-0.003164,0.0,0.3,0.0,0.0
111.612204,800.897183,0.03088,0.0,0.0,0.298253,-0.02738482852470017,0.000384,-0.002148,-0.002652,0.0,0.3,0.0,0.0
112.612573,800.915035,0.032209,0.0,0.0,0.299709,-0.024310867546586703,0.000589,-0.002148,-0.002652,0.0,0.3,0.0,0.0
113.613894,800.905862,0.032205,0.0,0.0,0.30007,-0.029870314520471366,-0.001255,-0.002148,-0.005726,0.0,0.3,0.0,0.0
114.613119,800.898325,0.032408,0.0,0.0,0.299868,-0.028788064231502493,0.000179,-0.001943,-0.002652,0.0,0.3,0.0,0.0
115.612797,800.919849,0.031401,0.0,0.0,0.299254,-0.026956378928258907,0.000384,-0.002353,-0.001627,0.0,0.3,0.0,0.0
116.612782,800.918338,0.030766,0.0,0.0,0.299403,-0.02841899758194724,0.000384,-0.001943,-0.002652,0.0,0.3,0.0,0.0
117.612556,800.91107,0.032302,0.0,0.0,0.2991,-0.027744596505176335,0.000384,-0.002763,-0.004189,0.0,0.3,0.0,0.0
118.612496,800.915531,0.032627,0.0,0.0,0.299701,-0.029862207694025263,0.000794,-0.001328,-0.001115,0.0,0.3,0.0,0.0
119.612106,800.911645,0.030897,0.0,0.0,0.299808,-0.028632218551569753,0.000794,-0.002148,-0.002139,0.0,0.3,0.0,0.0
120.613277,800.917025,0.032381,0.0,0.0,0.300067,-0.02984785171837422,0.000384,-0.002148,-0.001627,0.0,0.3,0.0,0.0
121.612647,800.90782,0.031042,0.0,0.0,0.29946,-0.027564170229596556,0.000589,-0.002558,-0.001627,0.0,0.3,0.0,0.0
122.612585,800.920763,0.031391,0.0,0.0,0.298691,-0.028601473883227774,0.000589,-0.001943,-0.002139,0.0,0.3,0.0,0.0
123.612251,800.928925,0.030725,0.0,0.0,0.299386,-0.028816716444643696,-0.000231,-0.002353,-0.005214,0.0,0.3,0.0,0.0
124.612576,800.921497,0.030527,0.0,0.0,0.299532,-0.02882491697524958,0.000179,-0.001328,-0.003164,0.0,0.3,0.0,0.0
125.612225,800.910587,0.032137,0.0,0.0,0.299609,-0.02968382775466954,0.000589,-0.001533,-0.001627,0.0,0.3,0.0,0.0
126.612237,800.908145,0.031694,0.0,0.0,0.297814,-0.03132078707014991,0.000384,-0.002148,-0.002139,0.0,0.3,0.0,0.0
127.612072,800.926588,0.031184,0.0,0.0,0.299311,-0.02711418314855873,-0.001051,-0.002558,-0.005214,0.0,0.3,0.0,0.0
128.613781,800.910484,0.0316,0.0,0.0,0.300032,-0.027409413443619114,-2.579813e-05,-0.002353,-0.003677,0.0,0.3,0.0,0.0
129.612082,800.9117,0.03163,0.0,0.0,0.3,-0.025970322667627468,0.000179,-0.002968,-0.003164,0.0,0.3,0.0,0.0
130.612196,800.914863,0.030671,0.0,0.0,0.298954,-0.02722082266298351,0.000589,-0.002353,-0.004189,0.0,0.3,0.0,0.0
131.612456,800.922611,0.032332,0.0,0.0,0.299714,-0.027845010267392927,0.000384,-0.002148,-0.004189,0.0,0.3,0.0,0.0
132.612739,800.918196,0.031083,0.0,0.0,0.300471,-0.025769426021436195,0.000179,-0.002148,-0.003677,0.0,0.3,0.0,0.0
