% Model:              RWGS_demo_CeO2_cycle1_CO2.mph
% Version:            COMSOL 5.6.0.341
% Date:               Jun 29 2022, 10:18
% Dimension:          1
% Nodes:              1386
% Expressions:        1
% Description:        Dependent variable u2
% X                       u2 (1) @ t=436.56
0.006728377929200352      0.013568814516416408
0.006866128984443262      0.01348361393159924
0.007006493327406631      0.013399343578400086
0.007149520535008036      0.013316002070398982
0.007295261124693224      0.013233587596230566
0.007443766572278972      0.013152097935178558
0.0075950893301344235     0.013071530472265771
0.007749282845707362      0.012991882212862602
0.007906401580401956      0.01291314979683363
0.008066501028814552      0.012835329512246627
0.008229637738334539      0.012758417308664356
0.008395869329116918      0.012682408810039562
0.008565254514433877      0.012607299327234808
0.008737853121412379      0.012533083870184931
0.00891372611216523       0.012459757159720725
0.009092935605322993      0.012387313639070216
0.009275544897974377      0.01231574748505325
0.009461618488022898      0.012245052618983163
0.0096512220969676        0.01217522271728897
0.009844422693116056      0.012106251221869238
0.010041288515237641      0.01203813135018796
0.010241889096665605      0.01197085610512273
