% Model:              RWGS_demo_CeO2_cycle2_H2.mph
% Version:            COMSOL 5.6.0.341
% Date:               Jun 28 2022, 11:32
% Dimension:          1
% Nodes:              1386
% Expressions:        7
% Description:        
% X                       c/c_max (1) @ t=0        c/c_max (1) @ t=80       c/c_max (1) @ t=160      c/c_max (1) @ t=240      c/c_max (1) @ t=320      c/c_max (1) @ t=400      c/c_max (1) @ t=446.73
0.9283106900044387        0.9986476488443086       0.9978231566551314       0.9959627653201636       0.9894937585567779       0.768107314741741        0.5251276687383499       0.45922281172681895
0.9293102482074829        0.9986797394003896       0.9978742509185219       0.996056337326283        0.9897353204571083       0.7704519794822174       0.5258835977036176       0.45979016296712316
0.9303098064105271        0.998711497865215        0.997924822423355        0.9961489522534478       0.9899742290755981       0.7728211946391544       0.5266414948175852       0.46035830319356863
0.9313093646135713        0.9987429232100686       0.9979748704104805       0.99624060786474         0.9902104926997025       0.7752153963950277       0.5274013798772027       0.4609272375750827
0.9323089228166155        0.99877401438499         0.9980243941235659       0.9963313018595251       0.9904441188218439       0.7776350259775924       0.5281632729988064       0.4614969713316998
0.9333084810196597        0.9988047703180966       0.9980733927592501       0.9964210318729975       0.9906751141747678       0.7800805292653583       0.5289271946251515       0.4620675097351478
0.9343080392227039        0.9988351899148787       0.9981218654282876       0.9965097954756622       0.990903484764232        0.7825523563311401       0.5296931655325111       0.46263885810938876
0.9353075974257481        0.9988652720574575       0.9981698111251406       0.996597590172741        0.9911292358991906       0.7850509609166954       0.5304612068377978       0.4632110218310943
0.9363071556287923        0.9988950156038091       0.9982172287040378       0.9966844134035105       0.9913523722196661       0.7875767998306302       0.5312313400056441       0.46378400633002975
0.9373067138318365        0.9989244193869514       0.9982641168600258       0.9967702625405648       0.9915728977224986       0.7901303322607554       0.5320035868553596       0.46435781708931345
0.9383062720348807        0.9989534822140903       0.9983104741139768       0.9968551348890327       0.991790815785206        0.7927120189909133       0.532777969567653        0.46493245964550545
0.9393058302379249        0.9989822028657226       0.9983562988009139       0.996939027685768        0.9920061291882216       0.7953223215109064       0.5335545106909603       0.46550793958846587
0.9403053884409691        0.9990105800946986       0.998401589061364        0.9970219380985792       0.992218840135815        0.7979617010064792       0.5343332331471841       0.4660842625609023
0.9413049466440133        0.9990386126252292       0.9984463428357316       0.9971038632255714       0.9924289502760919       0.8006306172142617       0.5351141602365685       0.46666143425750456
0.9423045048470575        0.9990662991518485       0.9984905578619526       0.9971848000947338       0.9926364607205462       0.803329527124054        0.5358973156413476       0.4672394604235217
0.9433040630501017        0.9990936383383167       0.9985342316768447       0.9972647456639414       0.9928413720637776       0.8060588835076937       0.5366827234276944       0.4678183468526029
0.9443036212531459        0.999120628816465        0.9985773616217166       0.9973436968216304       0.9930436844041676       0.8088191332497914       0.5374704080453351       0.4683980993836553
0.9453031794561901        0.9991472691849768       0.9986199448528085       0.9974216503884964       0.9932433973665454       0.8116107154506089       0.5382603943239878       0.4689787238963969
0.9463027376592343        0.9991735580080986       0.998661978357121        0.9974986031206972       0.9934405101282145       0.8144340592649673       0.5390527074655248       0.4695602263051779
0.9473022958622785        0.9991994938117214       0.9987034589740849       0.9975745517152355       0.9936350214501629       0.8172895814328723       0.5398473730303923       0.47014261255050716
0.948293321080098         0.9992248584195068       0.9987440361697802       0.9976488568780396       0.993825301278579        0.8201529043766282       0.5406376037083899       0.4707209059296499
0.9492659085051165        0.9992494111298712       0.9987833231008684       0.9977208124134154       0.9940095484885513       0.8229944907469889       0.5414154327443342       0.47128929730679386
0.9502203884056653        0.9992731776257754       0.998821359759843        0.9977904933812685       0.994187962029388        0.8258138794243357       0.5421810203726136       0.47184793746318254
0.9511570979056202        0.999296183249284        0.9988581854412617       0.9978579733213013       0.9943607361114861       0.8286106492731204       0.5429345354869811       0.472396982656302
0.9520763678523225        0.9993184525600175       0.9988938382550862       0.9979233233373261       0.9945280579538842       0.8313843820021019       0.5436761451076056       0.47293658691931006
0.9529785229334343        0.9993400093293336       0.9989283551787316       0.9979866121794665       0.9946901080771448       0.8341346630745121       0.5444060143967278       0.47346690208612313
0.9538638817916192        0.9993608765578913       0.9989617721018416       0.9980479063236324       0.9948470605801929       0.8368610826120473       0.5451243066735817       0.4739880778160385
0.9547327571370865        0.9993810764987539       0.9989941238645524       0.998107270048382        0.9949990834023613       0.8395632362898818       0.545831183428583        0.4745002616178882
0.9555854558580423        0.9994006306813692       0.9990254442901844       0.9981647655092423       0.9951463385717467       0.8422407262199265       0.5465268043367837       0.4750035988737181
0.956422279129082         0.9994195599351879       0.999055766213365        0.9982204528105816       0.995288982440882        0.8448931618195475       0.5472113272705829       0.4754982328619814
0.9572435225175657        0.9994378844126223       0.9990851215045926       0.9982743900751037       0.995427165910612        0.8475201606630116       0.5478849083116972       0.4759843047802395
0.9580494760880134        0.9994556236112627       0.9991135410921755       0.9983266335110362       0.9955610346429888       0.8501213493129675       0.5485477017623801       0.4764619537673588
0.9588404245045562        0.9994727963953721       0.9991410549823766       0.9983772374770735       0.995690729263914        0.852696364129332        0.5491998601558867       0.4769313169251938
0.9596166471314802        0.9994894210166557       0.9991676922784527       0.9984262545451442       0.9958163855561961       0.8552448520530291       0.5498415342661754       0.47739252933974524
0.960378418131898         0.9995055151343435       0.9991934811991432       0.9984737355610533       0.9959381346436291       0.8577664713621156       0.5504728731168479       0.4778457241017834
0.9611260065645841        0.9995210958346018       0.9992184490970079       0.9985197297030703       0.9960561031666517       0.8602608923979418       0.5510940239893188       0.478291032326927
0.9618596764790064        0.9995361796492994       0.9992426224769027       0.9985642845385101       0.99617041345009         0.862727798259096        0.5517051324302175       0.47872858317517003
