% Model:              RWGS_demo_CeO2_H2_2.mph
% Version:            COMSOL 5.6.0.341
% Date:               Jun 14 2022, 09:13
% Dimension:          1
% Nodes:              638
% Expressions:        1
% Description:        Function
% d                       Height
0.006475647564756475      0.8747665751609013
0.006545654565456546      0.8719674907626496
0.006615661566156615      0.8691452504556164
0.006685668566856685      0.8663002938703048
0.006755675567556755      0.863433064341225
0.006825682568256826      0.8605440086609154
0.006895689568956895      0.8576335768349603
0.006965696569656965      0.8547022218381813
0.007035703570357035      0.8517503993721968
0.007105710571057106      0.848778567624523
0.007175717571757175      0.8457871870294033
0.007245724572457244      0.8427767200305274
0.007315731573157315      0.8397476308458248
0.007385738573857385      0.8367003852344843
0.007455745574557455      0.833635450266368
0.007525752575257526      0.8305532940939743
0.007595759575957595      0.8274543857270981
0.007700770077007701      0.8227756402791823
0.007805780578057806      0.8180618457656277
0.00791079107910791       0.8133145892295724
0.008015801580158015      0.8085354565837951
0.00812081208120812       0.8037260310512567
