% Model:              RWGS_demo_CeO2_cycle2_H2.mph
% Version:            COMSOL 5.6.0.341
% Date:               Jun 28 2022, 11:31
% Dimension:          1
% Nodes:              1386
% Expressions:        7
% Description:        Dependent variable u2
% X                       u2 (1) @ t=0             u2 (1) @ t=80            u2 (1) @ t=160           u2 (1) @ t=240           u2 (1) @ t=320           u2 (1) @ t=400           u2 (1) @ t=446.73
2.7277265063826804E-4     0.024497469626402042     0.07258913558030439      0.08796613365898484      0.09789735240986892      0.1053622554223055       0.11139011859325895      0.11445063347539906
2.8805383461287775E-4     0.02446802519565887      0.07248698883984739      0.08784988594257756      0.0977730965439042       0.10523257415643558      0.11125643602450666      0.11431505061308067
3.0362491930995233E-4     0.024436870345456902     0.07238349499923605      0.08773208338525024      0.09764716219309706      0.10510112765861263      0.11112092231918849      0.11417760462658771
3.194914044623004E-4      0.02440397791191746      0.07227864495943         0.08761271482016164      0.09751953678797952      0.1049679022873089       0.11098356296558042      0.1140382805623405
3.3565889413866205E-4     0.024369322158230657     0.07217242981570485      0.08749176928671815      0.09739020796688366      0.10483288460697046      0.11084434365466228      0.11389706366720864
3.521330987230691E-4      0.02433287885724142      0.07206484086556096      0.08736923603972946      0.09725916358578848      0.10469606139831594      0.11070325029073949      0.11375393939928093
3.6891983693176727E-4     0.02429462537095993      0.0719558696166574       0.08724510455861713      0.09712639172823828      0.10455741966872356      0.11056026900216259      0.11360889343874062
3.860250378683926E-4      0.024254540726594616     0.07184550779476467      0.08711936455666675      0.09699188071532289      0.10441694666269581      0.11041538615214164      0.11346191169883851
4.034547431181436E-4      0.024212605688727778     0.07173374735172777      0.08699200599031323      0.09685561911571251      0.1042746298723918       0.11026858834963765      0.11331298033695347
4.212151088816756E-4      0.024168802827269256     0.07162058047343237      0.08686301906845445      0.0967175957557355       0.10413045704822069      0.1101198624603296       0.11316208576573525
4.3931240814948575E-4     0.02412311658085525      0.07150599958776069      0.08673239426177737      0.0965777997294911       0.10398441620948404      0.10996919561764279      0.11300921466431146
4.577530329175384E-4      0.024075533315386807     0.07138999737253293      0.0866001223120936       0.09643622040898762      0.10383649565505718      0.10981657523383047      0.11285435398955901
4.7654349644493264E-4     0.02402604137742853      0.07127256676342357      0.08646619424166915      0.09629284745429377      0.10368668397410191      0.10966198901109787      0.11269749098742238
4.956904355543938E-4      0.02397463114222605      0.07115370096184157      0.08633060136254025      0.09614767082369254      0.10353497005679554      0.10950542495275782      0.11253861320427042
5.152006129764119E-4      0.023921295056132774     0.0710333934427664       0.08619333528580483      0.09600068078382878      0.1033813431050676       0.10934687137440366      0.11237770849828015
5.350809197378479E-4      0.023866027673272398     0.07091163796252987      0.08605438793087833      0.09585186791983955      0.10322579264333331      0.10918631691509717      0.11221476505083783
5.553383775958558E-4      0.023808825686298038     0.0707884285665322       0.08591375153470171      0.09570122314544934      0.10306830852920981      0.10902375054854728      0.11204977137794013
5.759801415179802E-4      0.023749687951145893     0.07066375959688517      0.08577141866089252      0.09554873771302715      0.10290888096420672      0.10885916159427539      0.11188271634159092
